id,km_training_group_id,user_id,created_at,created_by
10,8,37,2015-10-12 08:50:52,31
11,8,38,2015-10-12 08:51:18,31
14,8,41,2015-10-12 08:58:37,31
22,12,49,2015-10-12 09:06:04,31
25,12,52,2015-10-12 09:07:00,31
55,11,79,2015-10-12 09:21:57,31
250,6,7,2015-10-12 11:22:44,31
263,6,267,2015-10-12 11:33:00,31
354,8,345,2015-12-03 13:17:48,31
434,12,408,2016-03-01 18:04:48,21
440,12,413,2016-03-08 21:16:59,16
485,8,448,2016-05-23 18:04:09,19
488,8,40,2016-05-25 09:33:21,31
633,4,551,2016-09-30 13:42:00,31
665,4,573,2016-10-06 15:00:21,31
750,4,632,2017-03-06 20:33:02,3
757,4,639,2017-04-03 20:38:24,22
835,11,693,2017-09-12 15:31:39,31
1390,6,954,2018-10-01 20:59:54,3
1482,14,849,2018-11-29 16:33:35,31
1486,14,7,2018-11-29 16:35:43,31
1488,14,14,2018-11-29 16:36:37,31
1494,14,1003,2018-11-29 16:39:29,31
1496,14,912,2018-11-29 16:39:49,31
1536,14,742,2019-01-04 20:41:25,3
1559,14,1032,2019-01-11 20:15:32,3
1593,14,1041,2019-02-15 19:38:05,3
1624,14,8,2019-03-22 19:31:00,3
1625,14,1064,2019-03-22 19:32:24,3
1666,14,273,2019-06-07 18:31:03,3
1865,3,1162,2019-09-05 19:35:53,7
1961,11,1065,2019-10-03 18:49:31,16
2025,3,981,2019-11-07 16:45:51,1250
2157,15,1379,2020-02-26 14:39:17,1250
2159,15,1381,2020-02-26 14:44:39,1250
2162,15,1384,2020-02-27 14:38:48,1250
2164,15,1386,2020-02-27 14:41:28,1250
2165,15,1387,2020-02-27 14:49:07,1250
2166,15,1355,2020-03-02 16:45:17,1250
2167,15,1388,2020-03-02 16:47:31,1250
2172,15,1390,2020-03-03 11:25:55,1250
2176,15,1394,2020-03-03 11:38:09,1250
2177,15,1395,2020-03-03 11:38:46,1250
2178,15,1396,2020-03-03 14:44:01,1250
2182,3,1224,2020-03-03 21:01:45,568
2187,15,1399,2020-03-06 09:05:11,1250
2189,15,1400,2020-03-06 16:26:40,1250
2190,15,1401,2020-03-09 12:19:34,1250
2194,15,1114,2020-03-10 14:06:01,1250
2196,15,1402,2020-03-10 15:24:47,1250
2203,15,1410,2020-03-11 09:35:49,1250
2204,15,1370,2020-03-11 09:46:54,1250
2205,15,1411,2020-03-13 12:25:56,1250
2206,15,1314,2020-03-27 13:33:29,1250
2207,15,1322,2020-03-27 13:33:37,1250
2208,15,213,2020-03-27 13:33:46,1250
2230,9,1424,2020-08-24 12:48:27,1250
2242,6,453,2020-09-01 13:27:22,1250
2293,11,1453,2020-09-03 10:27:39,1250
2305,6,1352,2020-09-14 10:59:28,1250
2339,3,1231,2020-10-05 12:37:35,1250
2343,3,1487,2020-10-05 12:43:31,1250
2344,3,1488,2020-10-05 12:44:00,1250
2350,3,1494,2020-10-05 12:45:46,1250
2353,3,1497,2020-10-05 12:47:22,1250
2358,3,1502,2020-10-05 12:48:15,1250
2360,3,1504,2020-10-05 12:48:33,1250
2361,3,1505,2020-10-05 12:54:07,1250
2362,3,1506,2020-10-05 13:21:09,1250
2363,3,1507,2020-10-05 13:21:17,1250
2364,3,1508,2020-10-05 13:21:23,1250
2385,3,1375,2020-10-13 11:46:29,1250
2411,3,1544,2020-11-17 11:52:26,1250
2412,3,1545,2020-11-17 20:59:48,954
2417,3,1548,2020-11-24 21:31:15,954
2421,3,1552,2020-12-01 12:37:45,1250
2529,17,1631,2021-09-01 21:03:02,1250
2530,17,1632,2021-09-01 21:03:14,1250
2531,17,1633,2021-09-01 21:05:17,1250
2532,17,1634,2021-09-01 21:12:13,1250
2533,17,1635,2021-09-01 21:12:40,1250
2545,17,1645,2021-09-06 14:14:27,1250
2590,17,1667,2021-10-05 19:32:30,7
2599,17,1380,2021-10-14 19:34:32,954
