id,user_id,training_id,group_type,for_trainings_to,amount,note,created_by,created_at,updated_at,updated_by
2,178,,,2016-01-31,120.00,28-12-2015 przelew,31,2016-01-04 11:33:02,2016-01-04 11:33:02,31
3,49,,,2016-01-31,65.00,28-12-2015,31,2016-01-04 11:34:01,2016-01-04 11:34:01,31
4,357,,,2016-01-31,1.00,185,00 w grudniu za XII i I,31,2016-01-04 11:44:16,2016-01-04 11:44:16,31
6,5,566,,2016-01-31,60.00,,18,2016-01-04 19:45:02,2016-01-05 14:44:51,31
8,264,566,,2016-01-31,70.00,1/2 opłaty,18,2016-01-04 19:46:41,2016-01-07 11:04:41,31
9,250,566,,2016-01-31,120.00,,18,2016-01-04 19:48:30,2016-01-05 14:44:40,31
11,269,566,,2016-01-31,100.00,Za 3 tygodnie,18,2016-01-04 19:50:41,2016-01-07 11:05:30,31
12,279,566,,2016-01-31,120.00,,18,2016-01-04 19:51:14,2016-01-05 14:44:14,31
13,258,566,,2016-01-31,120.00,,18,2016-01-04 19:55:22,2016-01-05 14:44:03,31
17,168,569,,2015-01-31,250.00,Grudzien i rekawice,8,2016-01-05 18:22:14,2016-02-03 11:04:57,31
18,74,568,,2016-01-31,100.00,,18,2016-01-05 19:10:04,2016-01-05 19:10:04,18
20,322,578,,2016-01-31,120.00,,21,2016-01-07 17:29:51,2016-01-07 17:29:51,21
21,56,578,,2016-01-31,120.00,,21,2016-01-08 08:55:58,2016-01-08 08:55:58,21
22,237,,,2016-01-31,130.00,przelew,31,2016-01-11 11:15:44,2016-01-11 11:15:44,31
23,318,,,2015-12-31,130.00,przelew,31,2016-01-11 11:17:43,2016-01-11 11:17:43,31
24,318,,,2016-01-31,120.00,przelew,31,2016-01-11 11:18:19,2016-01-11 11:18:19,31
25,64,,,2016-01-31,115.00,przelew,31,2016-01-11 11:19:17,2016-01-11 11:19:17,31
26,358,,,2016-01-31,120.00,przelew,31,2016-01-11 11:20:48,2016-01-11 11:20:48,31
27,20,,,2016-01-31,60.00,przelew instruktor,31,2016-01-11 11:21:37,2016-01-11 11:21:37,31
28,126,,,2016-01-31,120.00,przelew,31,2016-01-11 11:22:06,2016-01-11 11:22:06,31
29,259,,,2016-01-31,120.00,przelew,31,2016-01-11 11:22:37,2016-01-11 11:22:37,31
30,115,,,2016-01-31,120.00,przelew,31,2016-01-11 11:23:07,2016-01-11 11:23:07,31
31,265,,,2016-01-31,120.00,przelew,31,2016-01-11 11:23:35,2016-01-11 11:23:35,31
32,290,,,2016-01-31,120.00,przelew,31,2016-01-11 11:24:16,2016-01-11 11:24:16,31
33,133,,,2016-01-31,120.00,przelew,31,2016-01-11 11:24:49,2016-01-11 11:24:49,31
34,168,,,2015-12-31,130.00,przelew,31,2016-01-11 11:25:43,2016-01-11 11:25:43,31
35,111,,,2016-01-31,115.00,przelew,31,2016-01-11 11:26:22,2016-01-11 11:26:22,31
36,79,,,2016-01-31,120.00,przelew,31,2016-01-11 11:26:47,2016-01-11 11:26:47,31
37,165,,,2016-01-31,120.00,przelew,31,2016-01-11 11:27:16,2016-01-11 11:27:16,31
38,317,,,2016-01-31,120.00,przelew,31,2016-01-11 11:27:39,2016-01-11 11:27:39,31
39,38,,,2016-01-31,115.00,przelew,31,2016-01-11 11:28:20,2016-01-11 11:28:20,31
40,81,,,2016-01-31,65.00,przelew,31,2016-01-11 11:29:01,2016-01-11 11:29:01,31
41,118,,,2015-12-31,130.00,przelew,31,2016-01-11 11:29:33,2016-01-11 11:29:33,31
42,118,,,2016-01-26,110.00,brak pelnej oplaty - do doplaty 10zl,31,2016-01-11 12:07:47,2016-01-11 12:07:47,31
